Data 1;Data 2;Data 3;Data 4
27;57;54;15
45;28;37;19
41;43;22;23
47;18;22;33
23;49;48;15
22;33;46;29
28;41;15;52
23;21;35;40
52;38;41;16
20;46;19;45
42;15;29;54
59;41;54;41
33;57;23;15
53;45;17;39
33;50;28;37
34;57;58;27
31;60;32;40
34;18;26;22
26;18;54;28
35;20;24;52
23;58;42;55
16;46;23;50
50;32;16;43
52;27;21;45
29;16;23;23
30;57;25;49
50;43;20;45
40;57;21;20
42;55;49;51
35;45;38;47
45;21;23;56
33;28;26;46
25;38;29;44
53;30;29;35
57;56;17;60
42;25;26;33
45;20;52;18
32;34;25;18
60;35;52;41
49;20;45;57
21;47;27;47
51;53;20;48
18;46;46;21
40;37;37;27
45;45;15;17
31;50;18;44
59;30;30;51
39;20;43;23
17;28;36;46
18;60;53;40
35;59;23;36
21;54;60;24
45;39;26;50
31;36;57;23
15;36;38;47
48;44;20;21
30;60;52;44
23;60;27;30
56;53;33;38
25;40;31;38
44;40;26;40
57;23;49;26
50;55;27;26
49;41;21;26
17;56;23;34
60;32;32;46
57;33;26;40
54;48;23;39
22;30;40;34
23;42;60;37
38;51;26;55
58;39;31;44
15;18;40;34
43;17;41;52
24;26;51;18
40;21;24;56
31;38;17;57
30;57;58;60
50;27;60;19
25;28;57;46
32;15;59;39
20;44;30;26
24;35;60;24
18;50;27;55
30;17;24;30
27;35;59;42
31;46;37;53
49;44;48;56
34;39;44;51
38;18;16;34
21;29;60;36
26;31;26;24
17;57;45;46
24;20;48;19
25;55;29;34
22;16;42;56
19;48;48;31
37;16;31;57
28;25;30;59
44;25;54;29
24;32;22;45
47;34;17;31
40;51;26;46
38;38;40;36
26;46;24;48
42;23;34;55
49;35;44;32
23;59;30;38
46;24;33;42
33;18;31;32
29;60;42;58
26;60;15;46
54;16;22;55
18;26;57;45
46;34;25;43
36;23;53;34
45;26;52;39
34;16;19;29
51;48;23;23
30;50;32;39
29;51;46;23
49;54;51;18
57;29;29;46
36;35;27;38
19;25;55;52
53;40;59;28
30;20;17;19
59;40;44;18
26;18;30;34
54;23;53;28
39;31;53;28
34;51;42;24
48;56;54;38
43;43;54;16
28;59;41;49
18;33;25;42
18;35;47;60
53;32;53;58
56;38;42;53
50;57;16;37
56;48;24;19
44;58;28;27
39;46;17;31
32;17;25;28
20;24;42;46
39;49;53;25
39;55;54;45
38;17;17;37
38;18;29;23
37;37;50;29
17;18;16;56
45;40;18;51
48;22;15;51
22;26;37;52
55;51;51;15
21;36;39;54
35;40;42;55
51;27;51;31
31;55;51;26
46;16;58;36
43;57;21;20
21;24;38;31
17;31;44;60
15;16;19;16
34;41;43;49
49;40;50;43
55;57;47;50
28;21;17;33
32;29;30;43
28;55;36;44
25;31;39;48
41;49;27;55
34;45;52;35
16;58;20;21
21;46;28;55
17;30;27;18
54;36;31;17
40;43;36;50
21;18;17;60
20;60;29;43
56;24;30;28
27;42;17;32
20;19;15;28
49;49;46;52
17;51;21;34
34;57;16;25
51;20;40;37
35;56;36;18
47;43;39;40
36;52;30;51
41;19;58;45
33;46;33;52
33;26;36;24
26;40;18;23
52;57;18;37
52;54;28;16
20;51;18;31
46;60;55;53
20;42;49;31
58;19;27;33
21;54;17;38
17;25;49;27
